Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
"Robert ""Bob"" Dupuis",0,27.0,177.0,76.0,Canada,CAN,0,1980,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey, 
Pedro Apellniz Zarrga,0,24.0,182.0,82.0,Spain,ESP,1,1948,London,Athletics,Athletics Men's Javelin Throw, 
Arnaud Boiteau,0,30.0,185.0,76.0,France,FRA,1,2004,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Chana Franciela Masson de Souza,0,29.0,183.0,79.0,Brazil,BRA,1,2008,Beijing,Handball,Handball Women's Handball, 
Henri Louis Borio,0,20.0,170.0,69.0,France,FRA,1,1972,Munich,Gymnastics,Gymnastics Men's Pommelled Horse, 
Omar Chokhmane,0,24.0,180.0,72.0,Morocco,MAR,1,1972,Munich,Athletics,Athletics Men's 4 x 400 metres Relay, 
Scott Michael Brennan,0,25.0,193.0,89.0,Australia,AUS,1,2008,Beijing,Rowing,Rowing Men's Double Sculls,Gold
Brittany Borman,0,23.0,183.0,77.0,United States,USA,1,2012,London,Athletics,Athletics Women's Javelin Throw, 
Trevor Andrew,0,22.0,170.0,59.0,Canada,CAN,0,2002,Salt Lake City,Snowboarding,Snowboarding Men's Halfpipe, 
Manuel Fabrizio Cappai,0,19.0,168.0,49.0,Italy,ITA,1,2012,London,Boxing,Boxing Men's Light-Flyweight, 
"Philip Aron ""Phil"" Edwards",0,28.0,176.0,64.0,Canada,CAN,1,1936,Berlin,Athletics,Athletics Men's 4 x 400 metres Relay, 
Manuel Borja Garcia,0,22.0,178.0,70.0,Mexico,MEX,1,1972,Munich,Football,Football Men's Football, 
Samantha Michelle Arvalo Salinas,0,21.0,171.0,60.0,Ecuador,ECU,1,2016,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water, 
"Christopher David ""Chris"" Duplanty",0,30.0,190.0,95.0,United States,USA,1,1996,Atlanta,Water Polo,Water Polo Men's Water Polo, 
Malena Ivanova Andonova,0,23.0,169.0,57.0,Bulgaria,BUL,1,1980,Moskva,Athletics,Athletics Women's 400 metres, 
Artur Surenovych Aivazian,0,39.0,177.0,88.0,Ukraine,UKR,1,2012,London,Shooting,"Shooting Men's Air Rifle, 10 metres", 
Yehya Bundhun,0,39.0,175.0,72.0,Mauritius,MRI,1,2004,Athina,Archery,Archery Men's Individual, 
Walter Bormolini,0,19.0,180.0,87.0,Italy,ITA,0,2006,Torino,Freestyle Skiing,Freestyle Skiing Men's Moguls, 
Kristjn Andrsson,0,23.0,182.0,84.0,Iceland,ISL,1,2004,Athina,Handball,Handball Men's Handball, 
Omar El Kaddouri,0,21.0,187.0,82.0,Morocco,MAR,1,2012,London,Football,Football Men's Football, 
Cameron Delaney,0,19.0,180.0,71.0,Australia,AUS,1,2000,Sydney,Swimming,Swimming Men's 200 metres Backstroke, 
Maciej Bodnar,0,31.0,186.0,78.0,Poland,POL,1,2016,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial, 
"Ricardo Blas, Jr.",0,21.0,183.0,214.0,Guam,GUM,1,2008,Beijing,Judo,Judo Men's Heavyweight, 
Zulema Bregado Gutierrez,0,17.0,153.0,50.0,Cuba,CUB,1,1968,Mexico City,Gymnastics,Gymnastics Women's Balance Beam, 
Leif Eddy Bengtsson,0,21.0,192.0,130.0,Sweden,SWE,1,2000,Sydney,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman", 
"Matthew ""Matt"" Celotti",0,29.0,185.0,103.0,Australia,AUS,1,2008,Beijing,Judo,Judo Men's Half-Heavyweight, 
Natalia Autric Amarillo de Sancho,0,23.0,168.0,59.0,Spain,ESP,1,1988,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay, 
"Molly Ray Botkin (-Rossiter, -Trees)",0,16.0,173.0,61.0,United States,USA,1,1960,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Roger Bielle,0,28.0,173.0,67.0,France,FRA,1,1956,Melbourne,Wrestling,"Wrestling Men's Featherweight, Greco-Roman", 
John Buchanan,0,24.0,164.0,64.0,Great Britain,GBR,1,2000,Sydney,Judo,Judo Men's Extra-Lightweight, 
Milaine Cloutier,0,28.0,165.0,63.0,Canada-2,CAN,1,2000,Sydney,Badminton,Badminton Mixed Doubles, 
Priska Doppmann,0,37.0,168.0,55.0,Switzerland,SUI,1,2008,Beijing,Cycling,Cycling Women's Individual Time Trial, 
Rainer Dietel,0,22.0,182.0,72.0,Germany,GER,0,1960,Squaw Valley,Nordic Combined,Nordic Combined Men's Individual, 
Luk Bauer,0,20.0,181.0,73.0,Czech Republic,CZE,0,1998,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay, 
John David Fitzgerald,0,28.0,186.0,77.0,United States,USA,1,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual, 
"Horace Hallock ""Hal"" Brown",0,22.0,172.0,66.0,United States,USA,1,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Gold
Jaye Bailey,0,27.0,179.0,69.0,New Zealand,NZL,1,2000,Sydney,Softball,Softball Women's Softball, 
Miles Cleveland Chamley-Watson,0,26.0,193.0,80.0,United States,USA,1,2016,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual", 
Srgio Alexandre Carrelhas Canossa Sales Esteves,0,20.0,180.0,71.0,Portugal,POR,1,1988,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay, 
Erin Jane Cafaro (-McKenzie),0,25.0,175.0,73.0,United States,USA,1,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
Jean Barr,0,23.0,178.0,71.0,Canada,CAN,1,1968,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres", 
Robert Felisiak,0,29.0,185.0,61.0,Germany,GER,1,1992,Barcelona,Fencing,"Fencing Men's epee, Team",Gold
Madelon Baans,0,18.0,168.0,62.0,Netherlands,NED,1,1996,Atlanta,Swimming,Swimming Women's 100 metres Breaststroke, 
"William Theodore ""Willie"" deWit",0,23.0,189.0,91.0,Canada,CAN,1,1984,Los Angeles,Boxing,Boxing Men's Heavyweight,Silver
Oksana Serhivna Baiul,0,16.0,159.0,43.0,Ukraine,UKR,0,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,Gold
Kemoy Campbell,0,25.0,168.0,57.0,Jamaica,JAM,1,2016,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres", 
Patrice Casimir,0,24.0,169.0,63.0,France,FRA,1,1996,Atlanta,Gymnastics,Gymnastics Men's Rings, 
Ivan Yakov Dimitrov,0,18.0,182.0,80.0,Bulgaria,BUL,1,1992,Barcelona,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres", 
David McPherson Broome,0,48.0,175.0,64.0,Great Britain,GBR,1,1988,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team", 
Mabel Evelia Farina,0,23.0,175.0,66.0,Argentina,ARG,1,1964,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay, 
Santo Condorelli,0,21.0,188.0,88.0,Canada,CAN,1,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Butterfly, 
Franz Dorfer,0,26.0,176.0,71.0,Austria,AUT,1,1976,Montreal,Boxing,Boxing Men's Light-Middleweight, 
Rodrigo Amado,0,20.0,171.0,59.0,Brazil,BRA,1,1996,Atlanta,Sailing,Sailing Men's Two Person Dinghy, 
Predrag Filipovi,0,29.0,182.0,72.0,Serbia,SRB,1,2008,Beijing,Athletics,Athletics Men's 20 kilometres Walk, 
"Shawnacy Campbell ""Shawn"" Barber",0,22.0,187.0,82.0,Canada,CAN,1,2016,Rio de Janeiro,Athletics,Athletics Men's Pole Vault, 
Mio Brkovi,0,20.0,186.0,80.0,Yugoslavia,YUG,1,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual", 
"Asuka Antonio ""Aska"" Cambridge",0,23.0,179.0,74.0,Japan,JPN,1,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres, 
Pierre Dlze,0,29.0,175.0,62.0,Switzerland,SUI,1,1988,Seoul,Athletics,"Athletics Men's 5,000 metres", 
Ron Easey,0,40.0,165.0,75.0,Australia,AUS,1,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual", 
Adolfo Belmonte Heredia,0,23.0,182.0,70.0,Mexico,MEX,1,1968,Mexico City,Cycling,"Cycling Men's Team Pursuit, 4,000 metres", 
"Joseph Brooks Dodge, Jr.",0,22.0,186.0,76.0,United States,USA,0,1952,Oslo,Alpine Skiing,Alpine Skiing Men's Downhill, 
Hamdy El-Kot,0,31.0,188.0,89.0,Egypt,EGY,1,2000,Sydney,Rowing,Rowing Men's Coxless Fours, 
Pter Almsi,0,21.0,192.0,88.0,Hungary,HUN,1,1996,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres", 
Jonathan Javier Camacho Riera,0,22.0,190.0,75.0,Venezuela,VEN,1,2008,Beijing,Swimming,Swimming Men's 50 metres Freestyle, 
El-Sayed Aboumedan,0,26.0,178.0,81.0,Egypt,EGY,1,2004,Athina,Judo,Judo Men's Half-Middleweight, 
Noureddine Bouyahiaoui,0,29.0,180.0,77.0,Morocco,MAR,1,1984,Los Angeles,Football,Football Men's Football, 
"Deborah ""Debbie"" Ferguson-McKenzie",0,24.0,168.0,63.0,Bahamas,BAH,1,2000,Sydney,Athletics,Athletics Women's 100 metres, 
Gbor Balla,0,22.0,185.0,75.0,Hungary,HUN,1,1964,Tokyo,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres", 
Mria Bencsik,0,20.0,164.0,52.0,Hungary,HUN,1,1960,Roma,Gymnastics,Gymnastics Women's Team All-Around, 
Gladstone Agbamu,0,27.0,179.0,74.0,Nigeria,NGR,1,1972,Munich,Athletics,Athletics Men's 400 metres Hurdles, 
Andrea Evangelisti,0,23.0,172.0,72.0,Italy,ITA,1,1996,Atlanta,Baseball,Baseball Men's Baseball, 
Rival Cadeau (-Payet),0,28.0,187.0,71.0,Seychelles,SEY,1,1992,Barcelona,Boxing,Boxing Men's Light-Middleweight, 
Rolf Danneberg,0,35.0,198.0,125.0,West Germany,FRG,1,1988,Seoul,Athletics,Athletics Men's Discus Throw,Bronze
Michaela Jutta Endler (-Probst),0,30.0,175.0,70.0,West Germany,FRG,0,1976,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres, 
Simon Clarke,0,30.0,175.0,64.0,Australia,AUS,1,2016,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual", 
Jernej Damjan,0,22.0,171.0,55.0,Slovenia,SLO,0,2006,Torino,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual", 
Choi Don-Hui,0,18.0,165.0,59.0,South Korea,KOR,1,1964,Tokyo,Volleyball,Volleyball Women's Volleyball, 
Marit Bjrgen,0,29.0,168.0,64.0,Norway,NOR,0,2010,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Crox Ernesto Acua Rodrguez,0,22.0,192.0,89.0,Venezuela,VEN,1,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay, 
Dai Xiaoxiang,0,21.0,178.0,70.0,China,CHN,1,2012,London,Archery,Archery Men's Team, 
Sara Anneli Algotsson Ostholt,0,41.0,163.0,56.0,Sweden,SWE,1,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual", 
Olivier Backes,0,31.0,176.0,73.0,France,FRA,1,2004,Athina,Sailing,Sailing Mixed Multihull, 
Serge Boisvert,0,28.0,175.0,82.0,Canada,CAN,0,1988,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey, 
Taweesit Arjtaweekul,0,23.0,173.0,59.0,Thailand,THA,1,1964,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay, 
Kevin Arnould,0,21.0,178.0,63.0,France,FRA,0,2002,Salt Lake City,Nordic Combined,Nordic Combined Men's Team, 
"Voldimars ""Valdemar"" Bandolowski",0,34.0,184.0,82.0,Denmark,DEN,1,1980,Moskva,Sailing,Sailing Mixed Three Person Keelboat,Gold
Christian Dorosario,0,18.0,173.0,63.0,Senegal,SEN,1,1972,Munich,Athletics,Athletics Men's 4 x 100 metres Relay, 
Chiara Bazzoni,0,28.0,172.0,60.0,Italy,ITA,1,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay, 
Ludger Beerbaum,0,28.0,190.0,85.0,Germany,GER,1,1992,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
ngel Fernndez Garca,0,27.0,174.0,78.0,Spain,ESP,1,1988,Seoul,Fencing,"Fencing Men's epee, Individual", 
Marie-ve Drolet,0,32.0,167.0,60.0,Canada,CAN,0,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres", 
Chang Yongxiang,0,24.0,178.0,74.0,China,CHN,1,2008,Beijing,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
Elisa Barnard,0,19.0,171.0,57.0,Australia,AUS,1,2012,London,Archery,Archery Women's Individual, 
Khristo Barzanov,0,23.0,181.0,78.0,Bulgaria,BUL,0,1980,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres, 
Dawn C. Burrell,0,26.0,176.0,58.0,United States,USA,1,2000,Sydney,Athletics,Athletics Women's Long Jump, 
Alessandro Andrei,0,29.0,191.0,118.0,Italy,ITA,1,1988,Seoul,Athletics,Athletics Men's Shot Put, 
Eugeniusz Durejko,0,21.0,202.0,101.0,Poland,POL,1,1972,Munich,Basketball,Basketball Men's Basketball, 
Cyrille Carr,0,32.0,184.0,75.0,France,FRA,1,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres", 
Imre Bcskai,0,27.0,168.0,67.0,Hungary,HUN,1,1988,Seoul,Boxing,Boxing Men's Welterweight, 
Philippe Ermenault,0,31.0,180.0,71.0,France,FRA,1,2000,Sydney,Cycling,"Cycling Men's Team Pursuit, 4,000 metres", 
Christian Ahlmann,0,37.0,189.0,80.0,Germany,GER,1,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Individual", 
Lad Bessou,0,24.0,180.0,63.0,Algeria,ALG,1,2000,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase", 
Aleksey Aleksandrovich Alipov,0,25.0,175.0,80.0,Russia,RUS,1,2000,Sydney,Shooting,Shooting Men's Trap, 
Jean-Marie Chardonnens,0,25.0,187.0,90.0,Switzerland,SUI,1,1968,Mexico City,Wrestling,"Wrestling Men's Middleweight, Greco-Roman", 
"Eleanor Jane ""Ellie"" Faulkner",0,23.0,165.0,68.0,Great Britain,GBR,1,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle, 
Julie Wu Chu,0,27.0,173.0,67.0,United States,USA,0,2010,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Lior Carmi,0,20.0,165.0,64.0,Israel,ISR,1,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, 500 metres", 
Tark Langat Akda,0,28.0,176.0,60.0,Turkey,TUR,1,2016,Rio de Janeiro,Athletics,"Athletics Men's 3,000 metres Steeplechase", 
Frank Baltrusch,0,24.0,193.0,92.0,East Germany,GDR,1,1988,Seoul,Swimming,Swimming Men's 200 metres Backstroke,Silver
Francis Keita Agyepong,0,27.0,179.0,73.0,Great Britain,GBR,1,1992,Barcelona,Athletics,Athletics Men's Triple Jump, 
"Daniel Wepener ""Daan"" Bekker",0,24.0,180.0,89.0,South Africa,RSA,1,1956,Melbourne,Boxing,Boxing Men's Heavyweight,Bronze
Judith Draxler (-Hutter),0,26.0,180.0,72.0,Austria,AUT,1,1996,Atlanta,Swimming,Swimming Women's 100 metres Freestyle, 
Alenka ebaek,0,24.0,166.0,61.0,Slovenia,SLO,0,2014,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres, 
Krzysztof Cwalina,0,21.0,186.0,75.0,Poland,POL,1,1992,Barcelona,Swimming,Swimming Men's 50 metres Freestyle, 
"Deborah Sue ""Debra"" Edwards-Armstrong",0,21.0,153.0,51.0,United States,USA,1,1976,Montreal,Athletics,Athletics Women's 200 metres, 
"Edward Andrew ""Ed"" Burke",0,44.0,185.0,112.0,United States,USA,1,1984,Los Angeles,Athletics,Athletics Men's Hammer Throw, 
Marianne Dahlmo (-Breivoll),0,23.0,179.0,65.0,Norway,NOR,0,1988,Calgary,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres, 
Svetlana Mikhaylovna Chimrova,0,20.0,173.0,61.0,Russia,RUS,1,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay, 
Gremlis Andrena Arvelo Garca,0,19.0,167.0,62.0,Venezuela,VEN,1,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles, 
Choi Jae-Bong,0,17.0,178.0,78.0,South Korea,KOR,0,1998,Nagano,Speed Skating,"Speed Skating Men's 5,000 metres", 
Nancy Rebecca Bell-Johnstone,0,32.0,167.0,57.0,United States,USA,0,1992,Albertville,Biathlon,Biathlon Women's 7.5 kilometres Sprint, 
Ji Fejtek,0,22.0,168.0,61.0,Czechoslovakia,TCH,1,1968,Mexico City,Gymnastics,Gymnastics Men's Rings, 
Mauricio de la Lama,0,44.0,171.0,69.0,Acipactli,MEX,1,1964,Tokyo,Sailing,Sailing Mixed Three Person Keelboat, 
Laetitia Dugain,0,15.0,160.0,52.0,France,FRA,1,2008,Beijing,Gymnastics,Gymnastics Women's Balance Beam, 
Luigi Beccali,0,20.0,169.0,63.0,Italy,ITA,1,1928,Amsterdam,Athletics,"Athletics Men's 1,500 metres", 
Louis Steven Fabrice Coiffic,0,27.0,168.0,73.0,Mauritius,MRI,1,2012,London,Athletics,Athletics Men's 100 metres, 
Claudinei Quirino da Silva,0,25.0,186.0,88.0,Brazil,BRA,1,1996,Atlanta,Athletics,Athletics Men's 200 metres, 
Javier Culson Prez,0,24.0,200.0,82.0,Puerto Rico,PUR,1,2008,Beijing,Athletics,Athletics Men's 400 metres Hurdles, 
Dashnyamyn Tmr-Ochir,0,31.0,173.0,66.0,Mongolia,MGL,1,1996,Atlanta,Cycling,"Cycling Men's Road Race, Individual", 
Oana Mihaela Ban,0,18.0,139.0,36.0,Romania,ROU,1,2004,Athina,Gymnastics,Gymnastics Women's Team All-Around,Gold
Draen Dalipagi,0,32.0,197.0,95.0,Yugoslavia,YUG,1,1984,Los Angeles,Basketball,Basketball Men's Basketball,Bronze
Giovanni Cornacchia,0,21.0,186.0,78.0,Italy,ITA,1,1960,Roma,Athletics,Athletics Men's 110 metres Hurdles, 
Francisco Boza Dibos,0,23.0,176.0,95.0,Peru,PER,1,1988,Seoul,Shooting,Shooting Mixed Trap, 
Jasem Goma'an Al-Dowaila,0,21.0,188.0,75.0,Kuwait,KUW,1,1984,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles, 
Ole Valdemar Henrik Berntsen,0,41.0,180.0,77.0,Tip,DEN,1,1956,Melbourne,Sailing,Sailing Mixed Three Person Keelboat,Silver
Ang Peng Siong,0,21.0,180.0,75.0,Singapore,SGP,1,1984,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay, 
Alicia Jayne Coutts,0,28.0,176.0,69.0,Australia,AUS,1,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley, 
"Aleksander ""Saa"" orevi",0,28.0,188.0,90.0,Serbia and Montenegro,SCG,1,1996,Atlanta,Basketball,Basketball Men's Basketball,Silver
Georgina Nicole Cassar,0,18.0,170.0,61.0,Great Britain,GBR,1,2012,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group, 
Polina Hryhorivna Astakhova,0,27.0,166.0,56.0,Soviet Union,URS,1,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Gold
"Yu Ching ""Marilyn"" Chua",0,20.0,163.0,62.0,Malaysia,MAS,1,2000,Sydney,Swimming,Swimming Women's 50 metres Freestyle, 
Laishram Bombayla Devi,0,31.0,164.0,60.0,India,IND,1,2016,Rio de Janeiro,Archery,Archery Women's Individual, 
Thomas Endres,0,19.0,180.0,76.0,West Germany,FRG,1,1988,Seoul,Fencing,"Fencing Men's Foil, Team",Silver
Angelika Beblo,0,23.0,176.0,67.0,West Germany,FRG,1,1984,Los Angeles,Rowing,Rowing Women's Coxed Eights, 
Chen Chin-San,0,29.0,178.0,86.0,Chinese Taipei,TPE,0,1992,Albertville,Bobsleigh,Bobsleigh Men's Four, 
Bryan Donnelly,0,25.0,198.0,91.0,Canada,CAN,1,2000,Sydney,Rowing,Rowing Men's Coxed Eights, 
Iryna Valerivna Chuzhynova,0,32.0,170.0,58.0,Ukraine,UKR,1,2004,Athina,Cycling,"Cycling Women's Road Race, Individual", 
Annick de Susini,0,16.0,168.0,56.0,France,FRA,1,1976,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay, 
Mary Frances Clinton (Deakins-),0,24.0,163.0,65.0,New Zealand,NZL,1,1984,Los Angeles,Hockey,Hockey Women's Hockey, 
Andrey Igorevich Alshan,0,28.0,181.0,78.0,Soviet Union,URS,1,1988,Seoul,Fencing,"Fencing Men's Sabre, Team",Silver
Peter Boden,0,28.0,175.0,97.0,Great Britain,GBR,1,1976,Montreal,Shooting,Shooting Mixed Trap, 
Pierre-Ambroise Bosse,0,20.0,185.0,68.0,France,FRA,1,2012,London,Athletics,Athletics Men's 800 metres, 
Sergi Enrique Montserrat,0,20.0,174.0,69.0,Spain,ESP,1,2008,Beijing,Hockey,Hockey Men's Hockey,Silver
Diane Hendrina Edelijn,0,16.0,176.0,69.0,Netherlands,NED,1,1976,Montreal,Swimming,Swimming Women's 100 metres Backstroke, 
Vered Borochovsky,0,16.0,164.0,60.0,Israel,ISR,1,2000,Sydney,Swimming,Swimming Women's 200 metres Individual Medley, 
Andreas Busse,0,21.0,185.0,68.0,East Germany,GDR,1,1980,Moskva,Athletics,Athletics Men's 800 metres, 
Sami Jasem Al-Dosari,0,19.0,167.0,69.0,Saudi Arabia,KSA,1,1984,Los Angeles,Football,Football Men's Football, 
"Francis Joseph Edmund ""Frank"" De Beaurepaire",0,32.0,170.0,65.0,Australia,AUS,1,1924,Paris,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Jol Georges Chenal Jacquet,0,32.0,177.0,78.0,France,FRA,0,2006,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
Pawe Fajdek,0,23.0,186.0,126.0,Poland,POL,1,2012,London,Athletics,Athletics Men's Hammer Throw, 
"Josip ""Jozo"" Alebi",0,33.0,177.0,72.0,Yugoslavia,YUG,1,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay, 
Sarah Beth Docter (-Williams),0,15.0,167.0,57.0,United States,USA,0,1980,Lake Placid,Speed Skating,Speed Skating Women's 500 metres, 
Ilario Di Bu,0,38.0,175.0,90.0,Italy,ITA,1,2004,Athina,Archery,Archery Men's Team, 
V'iacheslav Vasylovych Derkach,0,25.0,175.0,69.0,Ukraine,UKR,0,2002,Salt Lake City,Biathlon,Biathlon Men's 10 kilometres Sprint, 
"Timothy John ""Tim"" Caldwell",0,26.0,183.0,79.0,United States,USA,0,1980,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres, 
Sabrina Del Mastio,0,33.0,160.0,53.0,Italy,ITA,1,2004,Athina,Softball,Softball Women's Softball, 
Constantin Adam,0,20.0,202.0,105.0,Romania,ROU,1,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours, 
Allison Beveridge,0,23.0,169.0,62.0,Canada,CAN,1,2016,Rio de Janeiro,Cycling,Cycling Women's Omnium, 
Nancy Rebecca Bell-Johnstone,0,32.0,167.0,57.0,United States,USA,0,1992,Albertville,Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay, 
Hermann Bauer,0,30.0,191.0,88.0,Austria,AUT,1,1996,Atlanta,Rowing,Rowing Men's Coxless Pairs, 
Choi Yong-Su,0,22.0,183.0,73.0,South Korea,KOR,1,1996,Atlanta,Football,Football Men's Football, 
Karin Agneta Engstrm,0,29.0,176.0,65.0,Sweden,SWE,1,2000,Sydney,Sailing,Sailing Women's Two Person Dinghy, 
Jaime Azcrraga Romandia,0,29.0,180.0,70.5,Mexico,MEX,1,1988,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team", 
Marco Antonio Camargo Gonzlez,0,19.0,170.0,68.0,Ecuador,ECU,1,2008,Beijing,Swimming,Swimming Men's 100 metres Butterfly, 
Yury Konstantinovich Cherednik,0,26.0,203.0,101.0,Unified Team,EUN,1,1992,Barcelona,Volleyball,Volleyball Men's Volleyball, 
David Brumwell,0,18.0,180.0,71.0,Canada,CAN,1,1972,Munich,Swimming,Swimming Men's 400 metres Individual Medley, 
Magorzata Dunecka (Gajewska-),0,23.0,176.0,67.0,Poland,POL,1,1980,Moskva,Athletics,Athletics Women's 400 metres, 
Aleksandr Sergeyevich Balandin,0,23.0,165.0,55.0,Russia,RUS,1,2012,London,Gymnastics,Gymnastics Men's Team All-Around, 
Vyacheslav Yemelyanovich Dryagin,0,27.0,173.0,72.0,Soviet Union,URS,0,1968,Grenoble,Nordic Combined,Nordic Combined Men's Individual, 
Stphan Malcolm Caron,0,18.0,200.0,82.0,France,FRA,1,1984,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay, 
Choi Ae-Yeong,0,25.0,168.0,60.0,South Korea,KOR,1,1984,Los Angeles,Basketball,Basketball Women's Basketball,Silver
Florin Cezar Crciun,0,24.0,186.0,103.0,Romania,ROU,0,2014,Sochi,Bobsleigh,Bobsleigh Men's Four, 
Mrti Cipulis,0,25.0,180.0,87.0,Latvia,LAT,0,2006,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey, 
Rgine Cavagnoud,0,23.0,163.0,64.0,France,FRA,0,1994,Lillehammer,Alpine Skiing,Alpine Skiing Women's Super G, 
mile Joseph Demangel,0,23.0,173.0,64.0,France,FRA,1,1906,Athina,Cycling,Cycling Men's 333 metres Time Trial, 
Jos Antonio Artecona Artze,0,51.0,175.0,87.0,Puerto Rico,PUR,1,1984,Los Angeles,Shooting,Shooting Mixed Trap, 
Taylor Ellis-Watson,0,23.0,183.0,65.0,United States,USA,1,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
"William Frederick ""Bill"" Crothers",0,23.0,183.0,71.0,Canada,CAN,1,1964,Tokyo,Athletics,Athletics Men's 400 metres, 
Skinnar Per Tobias Arwidson,0,25.0,170.0,74.0,Sweden,SWE,0,2014,Sochi,Biathlon,Biathlon Men's 20 kilometres, 
"Thomas Applegate ""Tom"" Beach",0,21.0,166.0,54.0,United States,USA,1,1976,Montreal,Gymnastics,Gymnastics Men's Team All-Around, 
Daniele Dessena,0,21.0,183.0,75.0,Italy,ITA,1,2008,Beijing,Football,Football Men's Football, 
Liam Patrick Ball,0,17.0,184.0,73.0,Ireland,IRL,1,1968,Mexico City,Swimming,Swimming Men's 100 metres Breaststroke, 
Peter Deimbck,0,18.0,183.0,79.0,Austria,AUT,1,1960,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial, 
"William Bundu ""Will"" Claye",0,21.0,181.0,72.0,United States,USA,1,2012,London,Athletics,Athletics Men's Triple Jump,Silver
Crawford William Fairbrother,0,24.0,187.0,76.0,Great Britain,GBR,1,1960,Roma,Athletics,Athletics Men's High Jump, 
Ekkehard Fasser,0,35.0,184.0,100.0,Switzerland-1,SUI,0,1988,Calgary,Bobsleigh,Bobsleigh Men's Four,Gold
